Tahun,Provinsi,sisa_makanan,kayu_ranting,kertas_karton,plastik,logam,kain,karet_kulit,kaca,lainnya
2022,Jawa Tengah,63.0,2.0,5.0,20.0,1.0,2.0,2.0,3.0,2.0
2022,Jawa Tengah,74.3,0.8,8.9,11.2,0.5,1.8,0.3,1.8,0.4
2022,Jawa Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Tengah,26.0,6.0,15.0,38.0,8.0,2.0,1.5,3.0,0.5
2022,Jawa Tengah,38.12,1.59,13.38,34.45,0.93,1.88,0.77,1.33,7.55
2022,Jawa Tengah,24.71,21.11,15.9,18.29,6.55,4.53,3.02,4.8,1.09
2022,Jawa Tengah,53.31,0.96,8.79,23.36,0.69,2.44,0.94,1.16,8.35
2022,Jawa Tengah,47.0,4.0,15.0,22.0,0.05,0.05,5.0,2.9,4.0
2022,Jawa Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Tengah,32.9,18.85,5.39,17.44,7.06,2.01,2.0,2.06,12.29
2022,Jawa Tengah,83.0,6.61,0.72,5.26,0.09,0.8,0.03,0.14,3.35
2022,Jawa Tengah,28.0,13.0,13.0,16.0,7.0,6.0,3.0,6.0,8.0
2022,Jawa Tengah,7.0,8.2,6.5,10.2,0.8,3.0,2.0,0.2,62.1
2022,Jawa Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Tengah,35.0,11.0,12.0,14.0,7.0,6.0,3.0,7.0,5.0
2022,Jawa Tengah,5.0,50.0,5.0,25.0,4.0,4.0,1.0,1.0,5.0
2022,Jawa Tengah,33.7,13.3,18.8,21.5,0.8,1.8,0.5,3.7,5.9
2022,Jawa Tengah,38.18,5.64,13.64,22.73,3.64,7.27,0.0,0.0,8.9
2022,Jawa Tengah,0.0,0.0,24.6,5.54,12.3,6.16,0.0,12.91,20.72
2022,Jawa Tengah,60.79,0.0,10.18,17.2,1.22,4.94,1.0,1.79,2.88
2022,Jawa Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,D.I. Yogyakarta,67.18,0.0,12.6,17.22,1.68,0.21,0.0,1.11,0.0
2022,D.I. Yogyakarta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,D.I. Yogyakarta,46.45,0.25,17.4,31.05,0.55,1.05,0.6,1.05,1.6
2022,Jawa Timur,34.0,4.5,8.3,35.0,5.0,8.0,3.0,2.0,0.2
2022,Jawa Timur,44.76,0.36,16.53,21.89,0.48,6.62,1.43,0.6,7.33
2022,Jawa Timur,67.48,3.55,10.77,11.62,1.0,1.05,1.14,1.6,1.79
2022,Jawa Timur,46.0,15.6,7.5,12.5,5.0,4.8,2.0,2.0,4.6
2022,Jawa Timur,46.4,22.47,4.28,11.31,0.2,2.02,0.63,4.75,7.94
2022,Jawa Timur,60.64,6.51,13.2,15.26,0.27,1.12,0.4,0.67,1.93
2022,Jawa Timur,40.25,17.35,10.65,17.8,1.15,3.25,1.45,1.5,6.6
2022,Jawa Timur,50.0,5.0,5.0,30.0,1.0,0.0,5.0,1.0,3.0
2022,Jawa Timur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Timur,44.4,13.8,16.2,24.0,0.2,0.6,0.2,0.2,0.4
2022,Jawa Timur,47.88,1.91,19.54,21.07,0.53,0.47,0.17,0.24,8.19
2022,Jawa Timur,48.85,7.27,7.93,12.5,1.24,2.71,1.33,1.24,16.93
2022,Jawa Timur,61.5,2.0,13.1,12.3,6.0,1.0,1.0,1.0,2.1
2022,Jawa Timur,35.0,25.0,8.0,15.0,1.0,1.0,2.0,3.0,10.0
2022,Jawa Timur,38.3,3.8,10.4,30.6,2.4,2.3,3.7,3.5,5.0
2022,Jawa Timur,45.0,34.0,3.0,7.0,1.0,0.5,0.5,1.0,8.0
2022,Jawa Timur,58.52,15.32,5.78,11.02,0.17,1.62,0.1,1.33,6.14
2022,Jawa Timur,55.29,10.29,4.47,11.58,0.47,4.84,2.02,1.37,9.67
2022,Jawa Timur,45.0,11.0,10.0,15.0,1.0,2.0,1.0,1.0,14.0
2022,Jawa Timur,55.0,4.0,7.0,13.0,3.0,5.0,2.0,2.0,9.0
2022,Jawa Timur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Timur,56.4,8.2,12.8,12.0,4.5,2.4,1.4,0.9,1.4
2022,Jawa Timur,53.0,13.6,5.2,9.1,0.8,2.9,3.0,3.4,9.0
2022,Jawa Timur,54.39,13.6,4.47,13.66,0.98,0.52,0.21,1.78,10.39
2022,Jawa Timur,61.55,4.06,9.12,19.29,0.74,0.93,1.43,0.86,2.02
2022,Jawa Timur,5.61,16.82,31.06,34.59,4.52,0.38,0.44,4.53,2.05
2022,Jawa Timur,73.1,0.02,9.51,13.45,0.32,0.9,0.11,0.49,2.1
2022,Jawa Timur,81.0,1.5,7.9,4.0,2.5,0.9,0.9,0.8,0.5
2022,Jawa Timur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
